date,venue,innings,target,team,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,d1,r1,w1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,d2,r2,w2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.10,2.11,2.12,d3,r3,w3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.10,3.11,3.12,d4,r4,w4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,4.12,d5,r5,w5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10,5.11,5.12,d6,r6,w6
2008-04-18,M Chinnaswamy Stadium,1,,Kolkata Knight Riders,1,0,1,0,0,0,1,,,,,,7,3,0,0,4,4,6,4,0,,,,,,,6,18,0,0,0,1,4,1,0,,,,,,,6,6,0,5,6,1,4,0,1,6,,,,,,7,23,0,4,1,4,0,1,0,,,,,,,6,10,0,1,0,0,0,0,0,,,,,,,6,1,1
2008-04-18,M Chinnaswamy Stadium,2,222,Royal Challengers Bangalore,1,1,0,1,1,0,0,,,,,,7,4,0,0,0,4,1,0,0,,,,,,,6,5,1,0,0,1,0,1,0,1,,,,,,7,3,1,2,1,0,1,0,0,,,,,,,6,4,0,1,1,0,6,0,0,,,,,,,6,8,1,0,0,0,1,1,0,,,,,,,6,2,1
2008-04-19,"Punjab Cricket Association Stadium, Mohali",1,,Chennai Super Kings,0,0,1,0,4,0,,,,,,,6,5,0,4,4,4,2,1,0,0,,,,,,7,15,0,0,5,0,1,0,1,0,,,,,,7,7,1,0,0,1,1,0,4,,,,,,,6,6,0,0,1,4,4,0,0,,,,,,,6,9,0,4,6,0,1,0,0,,,,,,,6,11,0
2008-04-19,"Punjab Cricket Association Stadium, Mohali",2,240,Kings XI Punjab,4,0,0,1,0,4,,,,,,,6,9,0,1,0,1,0,4,1,,,,,,,6,7,0,1,4,0,4,1,1,,,,,,,6,11,0,0,0,1,1,2,6,,,,,,,6,10,0,0,0,1,1,4,4,,,,,,,6,10,0,1,6,1,1,0,0,1,6,,,,,8,16,1
2008-04-20,Wankhede Stadium,1,,Mumbai Indians,0,4,0,0,4,0,,,,,,,6,8,0,1,0,0,0,0,4,,,,,,,6,5,1,0,4,0,1,0,1,0,,,,,,7,6,0,0,1,0,0,2,0,,,,,,,6,3,1,1,4,4,0,4,0,6,,,,,,7,19,0,1,4,0,0,1,0,,,,,,,6,6,1
2008-04-20,Wankhede Stadium,2,165,Royal Challengers Bangalore,0,1,0,1,4,4,,,,,,,6,10,0,0,0,0,0,0,1,,,,,,,6,1,0,0,4,1,1,4,1,,,,,,,6,11,0,0,1,1,1,1,1,,,,,,,6,5,0,4,1,4,0,1,0,0,,,,,,7,10,1,1,0,0,1,1,0,,,,,,,6,3,0
2008-04-20,Eden Gardens,1,,Deccan Chargers,1,1,2,0,0,0,5,,,,,,7,9,0,1,1,0,1,1,0,1,0,,,,,8,5,0,1,0,0,1,4,1,,,,,,,6,7,0,0,0,0,0,0,0,,,,,,,6,0,1,1,0,0,1,0,0,,,,,,,6,2,1,6,0,6,4,0,0,,,,,,,6,16,0
2008-04-20,Eden Gardens,2,110,Kolkata Knight Riders,1,4,0,1,0,0,,,,,,,6,6,0,0,0,0,2,4,4,,,,,,,6,10,1,0,0,1,0,0,1,,,,,,,6,2,1,0,0,1,1,0,1,,,,,,,6,3,0,0,0,0,1,0,1,,,,,,,6,2,1,1,0,0,0,1,1,,,,,,,6,3,0
2008-04-21,Sawai Mansingh Stadium,1,,Kings XI Punjab,0,0,0,0,1,0,,,,,,,6,1,0,4,0,0,0,1,0,,,,,,,6,5,0,4,0,0,6,0,0,,,,,,,6,10,0,4,0,0,0,4,0,,,,,,,6,8,0,0,0,4,6,0,4,,,,,,,6,14,1,1,6,4,4,0,1,,,,,,,6,16,0
2008-04-21,Sawai Mansingh Stadium,2,166,Rajasthan Royals,0,1,0,0,0,4,1,,,,,,7,6,0,0,1,0,1,0,0,5,0,,,,,8,7,1,2,4,0,1,2,0,6,,,,,,7,15,1,1,0,0,2,1,6,0,4,,,,,8,14,0,1,0,1,4,0,0,,,,,,,6,6,1,4,0,1,0,0,0,,,,,,,6,5,0
